Country,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Status,Reactor Type,Model,Start Year,Retired Year,Construction Start Date,First Criticality Date,First Grid Connection,Commercial Operation Date,Retired Date,Owner,Owner Name in Local Language / Script,Operator,Operator Name in Local Language / Script,Reference Net Capacity (MW),Design Net Capacity (MW),Thermal Capacity (MWt),Latitude,Longitude,Location Accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM unit ID,Wiki URL
United States,Alvin W Vogtle nuclear power plant,1,,Vogtle,"1,229",operating,pressurized water reactor,WH 4LP (DRYAMB),1987,,"August 1, 1976","March 9, 1987","March 27, 1987","June 1, 1987",,Georgia Power CO,,Southern Nuclear Operating Company INC,,"1,150","1,122","3,626",33.13001,-81.7729,Exact,,Burke County,,Georgia,Northern America,Americas,L500049,G500083,https://gem.wiki/Alvin_W_Vogtle_nuclear_power_plant
United States,Alvin W Vogtle nuclear power plant,2,,Vogtle,"1,229",operating,pressurized water reactor,WH 4LP (DRYAMB),1989,,"August 1, 1976","March 28, 1989","April 10, 1989","May 20, 1989",,Georgia Power CO,,Southern Nuclear Operating Company INC,,"1,152","1,101","3,626",33.13001,-81.7729,Exact,,Burke County,,Georgia,Northern America,Americas,L500049,G500084,https://gem.wiki/Alvin_W_Vogtle_nuclear_power_plant
United States,Alvin W Vogtle nuclear power plant,3,,Vogtle,"1,250",construction,pressurized water reactor,AP-1000,2023,,"March 12, 2013",,,,,Georgia Power CO,,Southern Nuclear Operating Company INC,,"1,117","1,117","3,400",33.1429,-81.7681,Exact,,Burke County,,Georgia,Northern America,Americas,L500049,G500126,https://gem.wiki/Alvin_W_Vogtle_nuclear_power_plant
United States,Alvin W Vogtle nuclear power plant,4,,Vogtle,"1,250",construction,pressurized water reactor,AP-1000,2023,,"November 19, 2013",,,,,Georgia Power CO,,Southern Nuclear Operating Company INC,,"1,117","1,117","3,400",33.1429,-81.7681,Exact,,Burke County,,Georgia,Northern America,Americas,L500049,G500125,https://gem.wiki/Alvin_W_Vogtle_nuclear_power_plant
Brazil,Angra nuclear power plant,1,,,640,operating,pressurized water reactor,WH 2LP,1985,,"May 1, 1971","March 13, 1982","April 1, 1982","January 1, 1985",,Eletrobras Eletronuclear SA,,Eletrobras Eletronuclear SA,,609,609,"1,882",-23.0069,-44.4585,Exact,Angra dos Reis,,Região Geográfica Intermediária do Rio de Janeiro,Rio de Janeiro,Latin America and the Caribbean,Americas,L500026,G500402,https://gem.wiki/Angra_nuclear_power_plant
Brazil,Angra nuclear power plant,2,,,"1,350",operating,pressurized water reactor,PRE KONVOI,2001,,"January 1, 1976","July 14, 2000","July 21, 2000","February 1, 2001",,Eletrobras Eletronuclear SA,,Eletrobras Eletronuclear SA,,"1,275","1,245","3,764",-23.0077,-44.4598,Exact,Angra dos Reis,,Região Geográfica Intermediária do Rio de Janeiro,Rio de Janeiro,Latin America and the Caribbean,Americas,L500026,G500071,https://gem.wiki/Angra_nuclear_power_plant
Brazil,Angra nuclear power plant,3,,,"1,405",pre-construction,pressurized water reactor,PRE KONVOI,2026,,"June 1, 2010",,,,,Eletrobras Eletronuclear SA,,Eletrobras Eletronuclear SA,,"1,340","1,340","3,900",-23.0091,-44.47201,Exact,Angra dos Reis,,Região Geográfica Intermediária do Rio de Janeiro,Rio de Janeiro,Latin America and the Caribbean,Americas,L500026,G500042,https://gem.wiki/Angra_nuclear_power_plant
China,Anhui Wuhu nuclear power plant,1-1,芜湖核电站,,"1,250",shelved,pressurized water reactor,unknown,,,2011,,,,,China Guangdong Nuclear Power Group CO LTD[51%]; Shenergy Company LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Electric Power CO LTD [14%],中国广核集团有限公司[51%]; 申能股份有限公司[20%]; 安徽省皖能股份有限公司[15%]; 上海电力股份有限公司[14%],Anhui Wuhu Nuclear Power CO LTD,安徽芜湖核电有限公司,,,,31.112294,118.017052,Approximate,Wuhu,Fanchang,,Anhui,Eastern Asia,Asia,L500326,G500851,https://gem.wiki/Anhui_Wuhu_nuclear_power_plant
China,Anhui Wuhu nuclear power plant,1-2,芜湖核电站,,"1,250",shelved,pressurized water reactor,unknown,,,2011,,,,,China Guangdong Nuclear Power Group CO LTD[51%]; Shenergy Company LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Electric Power CO LTD [14%],中国广核集团有限公司[51%]; 申能股份有限公司[20%]; 安徽省皖能股份有限公司[15%]; 上海电力股份有限公司[14%],Anhui Wuhu Nuclear Power CO LTD,安徽芜湖核电有限公司,,,,31.112294,118.017052,Approximate,Wuhu,Fanchang,,Anhui,Eastern Asia,Asia,L500326,G500852,https://gem.wiki/Anhui_Wuhu_nuclear_power_plant
China,Anhui Wuhu nuclear power plant,2-3,芜湖核电站,,"1,250",shelved,pressurized water reactor,unknown,,,2011,,,,,China Guangdong Nuclear Power Group CO LTD[51%]; Shenergy Company LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Electric Power CO LTD [14%],中国广核集团有限公司[51%]; 申能股份有限公司[20%]; 安徽省皖能股份有限公司[15%]; 上海电力股份有限公司[14%],Anhui Wuhu Nuclear Power CO LTD,安徽芜湖核电有限公司,,,,31.112294,118.017052,Approximate,Wuhu,Fanchang,,Anhui,Eastern Asia,Asia,L500326,G500849,https://gem.wiki/Anhui_Wuhu_nuclear_power_plant
China,Anhui Wuhu nuclear power plant,2-4,芜湖核电站,,"1,250",shelved,pressurized water reactor,unknown,,,2011,,,,,China Guangdong Nuclear Power Group CO LTD[51%]; Shenergy Company LTD [20%]; Anhui Wanneng CO LTD [15%]; Shanghai Electric Power CO LTD [14%],中国广核集团有限公司[51%]; 申能股份有限公司[20%]; 安徽省皖能股份有限公司[15%]; 上海电力股份有限公司[14%],Anhui Wuhu Nuclear Power CO LTD,安徽芜湖核电有限公司,,,,31.112294,118.017052,Approximate,Wuhu,Fanchang,,Anhui,Eastern Asia,Asia,L500326,G500850,https://gem.wiki/Anhui_Wuhu_nuclear_power_plant
United States,Arkansas Nuclear One nuclear power plant,1,,ANO,903,operating,pressurized water reactor,B&W LLP (DRYAMB),1974,,"October 1, 1968","August 6, 1974","August 17, 1974","December 19, 1974",,Entergy Arkansas INC,,Entergy Nuclear Operations INC,,836,850,"2,568",35.311,-93.2351,Exact,,Pope County,,Arkansas,Northern America,Americas,L500102,G500346,https://gem.wiki/Arkansas_Nuclear_One_nuclear_power_plant
United States,Arkansas Nuclear One nuclear power plant,2,,ANO,"1,065",operating,pressurized water reactor,CE 2LP (DRYAMB),1980,,"December 6, 1968","December 5, 1978","December 26, 1978","March 26, 1980",,Entergy Arkansas INC,,Entergy Nuclear Operations INC,,988,912,"3,026",35.311,-93.2351,Exact,,Pope County,,Arkansas,Northern America,Americas,L500102,G500198,https://gem.wiki/Arkansas_Nuclear_One_nuclear_power_plant
Armenia,Armenian nuclear power plant,1,Հայկական ատոմային էլեկտրակայան,Metsamor,408,retired,pressurized water reactor,VVER V-270,1977,1989,"July 1, 1969","December 15, 1976","December 22, 1976","October 6, 1977","February 25, 1989",Ministry Of Territorial Administration And Infrastructure,,Closed Joint Stock Company Armenian NPP,,376,376,"1,375",40.1817,44.1423,Exact,,,Vagharshapat region,Armavir Province,Western Asia,Asia,L500203,G500481,https://gem.wiki/Armenian_nuclear_power_plant
Armenia,Armenian nuclear power plant,2,Հայկական ատոմային էլեկտրակայան,Metsamor,451,operating,pressurized water reactor,VVER V-270,1980,,"July 1, 1975","January 1, 1980","January 5, 1980","May 3, 1980",,Ministry Of Territorial Administration And Infrastructure,,Closed Joint Stock Company Armenian NPP,,448,375,"1,375",40.1817,44.1423,Exact,,,Vagharshapat region,Armavir Province,Western Asia,Asia,L500203,G500482,https://gem.wiki/Armenian_nuclear_power_plant
Armenia,Armenian nuclear power plant,3,Հայկական ատոմային էլեկտրակայան,Metsamor,"1,060",shelved,unknown,unknown,,,,,,,,,,,,,,,40.1817,44.1423,Exact,,,Vagharshapat region,Armavir Province,Western Asia,Asia,L500203,G500714,https://gem.wiki/Armenian_nuclear_power_plant
Spain,Ascó nuclear power plant,1,,,"1,033",operating,pressurized water reactor,WH 3LP,1984,,"May 16, 1974","June 16, 1983","August 13, 1983","December 10, 1984",,Endesa SA,,Asociación Nuclear Ascó-Vandellós AIE,,995,995,"2,941",41.1993,0.5694,Exact,,Ribera d'Ebre,Tarragona,Catalonia,Southern Europe,Europe,L500115,G500242,https://gem.wiki/Ascó_nuclear_power_plant
Spain,Ascó nuclear power plant,2,,,"1,027",operating,pressurized water reactor,WH 3LP,1986,,"March 7, 1975","September 11, 1985","October 23, 1985","March 31, 1986",,Endesa; Iberdrola,,Asociación Nuclear Ascó-Vandellós AIE,,997,997,"2,941",41.1993,0.5694,Exact,,Ribera d'Ebre,Tarragona,Catalonia,Southern Europe,Europe,L500115,G500243,https://gem.wiki/Ascó_nuclear_power_plant
Belarus,Astravets nuclear power plant,1,,Belarusian; Ostrovets,"1,194",operating,pressurized water reactor,VVER V-491,2021,,"November 8, 2013","October 11, 2020","November 3, 2020","June 10, 2021",,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",,"1,110","1,110","3,200",54.7598,26.0937,Exact,Varnianski sieĺski Saviet,Astravyets District,,Hrodna Region,Eastern Europe,Europe,L500085,G500159,https://gem.wiki/Astravets_nuclear_power_plant
Belarus,Astravets nuclear power plant,2,,Belarusian; Ostrovets,"1,194",construction,pressurized water reactor,VVER V-491,2022,,"April 27, 2014",,,,,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",,"1,110","1,110","3,200",54.7598,26.0937,Exact,Varnianski sieĺski Saviet,Astravyets District,,Hrodna Region,Eastern Europe,Europe,L500085,G500179,https://gem.wiki/Astravets_nuclear_power_plant
Russia,Atomic Power Station 1 Obninsk nuclear power plant,,,APS-1 Obninsk,6,retired,light water graphite reactor,AM-1,1954,2002,"January 1, 1951","May 6, 1954","June 27, 1954","December 1, 1954","April 29, 2002",Ministry Of Medium Machine Building Of The USSR (Minsredmash),,Ministry Of Medium Machine Building Of The USSR (Minsredmash),,5,5,30,55.08901,36.5912,Exact,Obninsk,Obninsk,,Kaluga Oblast,Eastern Europe,Europe,L500265,G500617,https://gem.wiki/Atomic_Power_Station_1_Obninsk_nuclear_power_plant
Argentina,Atucha nuclear power plant,1,,,362,operating,pressurized heavy water reactor,PHWR KWU,1974,,"June 1, 1968","January 13, 1974","March 19, 1974","June 24, 1974",,Nucleoelectrica Argentina SA,,Nucleoelectrica Argentina SA,,340,319,"1,179",-33.96701,-59.2095,Exact,,,Partido de Zárate,Buenos Aires,Latin America and the Caribbean,Americas,L500166,G500502,https://gem.wiki/Atucha_nuclear_power_plant
Argentina,Atucha nuclear power plant,2,,,745,operating,pressurized heavy water reactor,PHWR KWU,2016,,"July 14, 1981","June 3, 2014","June 25, 2014","May 26, 2016",,Nucleoelectrica Argentina SA,,Nucleoelectrica Argentina SA,,693,692,"2,160",-33.9672,-59.2073,Exact,,,Partido de Zárate,Buenos Aires,Latin America and the Caribbean,Americas,L500166,G500382,https://gem.wiki/Atucha_nuclear_power_plant
Argentina,Atucha nuclear power plant,3,,Unit IV,"1,150",pre-construction,pressurized water reactor,Hualong One,2029,,2022,,,,,China National Nuclear Corporation [85%]; Nucleoelectrica Argentina SA [15%],,Nucleoelectrica Argentina SA,,,,,-33.9672,-59.2075,Exact,,,Partido de Zárate,Buenos Aires,Latin America and the Caribbean,Americas,L500166,G500646,https://gem.wiki/Atucha_nuclear_power_plant
Germany,AVR Reactor nuclear power plant,,Arbeitsgemeinschaft Versuchsreaktor,AVR,15,retired,high temperature gas reactor,Pebble bed reactor prototype,1969,1988,"August 1, 1961","August 16, 1966","December 17, 1967","May 19, 1969","December 31, 1988",Arbeitsgemeinschaft Versuchsreaktor GMBH,,Arbeitsgemeinschaft Versuchsreaktor GMBH,,13,13,46,50.9026,6.4208,Exact,,Kreis Düren,,North Rhine-Westphalia,Western Europe,Europe,L500263,G500615,https://gem.wiki/AVR_Reactor_nuclear_power_plant
China,Bailong nuclear power plant,1,白龙核电站,,"1,250",pre-construction,pressurized water reactor,unknown,2026,,,,,,,"State Nuclear Power Technology Corporation .,LTD",国家核电技术有限公司,CPI Guangxi Nuclear Power CO LTD,中电投广西核电有限公司,,,,21.638794,108.278468,Approximate,Fangchenggang,Fangcheng,Jiangshan Town,Guangxi,Eastern Asia,Asia,L500348,G500928,https://gem.wiki/Bailong_nuclear_power_plant
China,Bailong nuclear power plant,2,白龙核电站,,"1,250",pre-construction,pressurized water reactor,unknown,2027,,,,,,,"State Nuclear Power Technology Corporation .,LTD",国家核电技术有限公司,CPI Guangxi Nuclear Power CO LTD,中电投广西核电有限公司,,,,21.638794,108.278468,Approximate,Fangchenggang,Fangcheng,Jiangshan Town,Guangxi,Eastern Asia,Asia,L500348,G500929,https://gem.wiki/Bailong_nuclear_power_plant
China,Bailong nuclear power plant,3,白龙核电站,,"1,400",pre-construction,pressurized water reactor,unknown,,,,,,,,"State Nuclear Power Technology Corporation .,LTD",国家核电技术有限公司,CPI Guangxi Nuclear Power CO LTD,中电投广西核电有限公司,,,,21.638794,108.278468,Approximate,Fangchenggang,Fangcheng,Jiangshan Town,Guangxi,Eastern Asia,Asia,L500348,G500930,https://gem.wiki/Bailong_nuclear_power_plant
China,Bailong nuclear power plant,4,白龙核电站,,"1,400",pre-construction,pressurized water reactor,unknown,,,,,,,,"State Nuclear Power Technology Corporation .,LTD",国家核电技术有限公司,CPI Guangxi Nuclear Power CO LTD,中电投广西核电有限公司,,,,21.638794,108.278468,Approximate,Fangchenggang,Fangcheng,Jiangshan Town,Guangxi,Eastern Asia,Asia,L500348,G500931,https://gem.wiki/Bailong_nuclear_power_plant
China,Bailong nuclear power plant,5,白龙核电站,,"1,400",pre-construction,pressurized water reactor,unknown,,,,,,,,"State Nuclear Power Technology Corporation .,LTD",国家核电技术有限公司,CPI Guangxi Nuclear Power CO LTD,中电投广西核电有限公司,,,,21.638794,108.278468,Approximate,Fangchenggang,Fangcheng,Jiangshan Town,Guangxi,Eastern Asia,Asia,L500348,G500932,https://gem.wiki/Bailong_nuclear_power_plant
China,Bailong nuclear power plant,6,白龙核电站,,"1,400",pre-construction,pressurized water reactor,unknown,,,,,,,,"State Nuclear Power Technology Corporation .,LTD",国家核电技术有限公司,CPI Guangxi Nuclear Power CO LTD,中电投广西核电有限公司,,,,21.638794,108.278468,Approximate,Fangchenggang,Fangcheng,Jiangshan Town,Guangxi,Eastern Asia,Asia,L500348,G500933,https://gem.wiki/Bailong_nuclear_power_plant
China,Baishan nuclear power plant,1,白山核电站,,200,pre-construction,unknown,unknown,2024,,,,,,,State Nuclear Power Technology CO LTD,国家核电技术有限公司,CPI Jilin Nuclear Power CO LTD,国核吉林核电有限公司,,,,41.943946,126.413599,Approximate,Baishan,,,Jilin,Eastern Asia,Asia,L500347,G500926,https://gem.wiki/Baishan_nuclear_power_plant
China,Baishan nuclear power plant,2,白山核电站,,200,pre-construction,unknown,unknown,2024,,,,,,,State Nuclear Power Technology CO LTD,国家核电技术有限公司,CPI Jilin Nuclear Power CO LTD,国核吉林核电有限公司,,,,41.943946,126.413599,Approximate,Baishan,,,Jilin,Eastern Asia,Asia,L500347,G500927,https://gem.wiki/Baishan_nuclear_power_plant
Russia,Balakovo nuclear power plant,1,,,"1,000",operating,pressurized water reactor,VVER V-320,1986,,"December 1, 1980","December 12, 1985","December 28, 1985","May 23, 1986",,Rosatom,,Rosenergoatom,,950,950,"3,000",52.0928,47.9539,Exact,,Balakovsky District,,Saratov Oblast,Eastern Europe,Europe,L500089,G500212,https://gem.wiki/Balakovo_nuclear_power_plant
Russia,Balakovo nuclear power plant,2,,,"1,000",operating,pressurized water reactor,VVER V-320,1988,,"August 1, 1981","October 2, 1987","October 8, 1987","January 18, 1988",,Rosatom,,Rosenergoatom,,950,950,"3,000",52.0928,47.9539,Exact,,Balakovsky District,,Saratov Oblast,Eastern Europe,Europe,L500089,G500214,https://gem.wiki/Balakovo_nuclear_power_plant
Russia,Balakovo nuclear power plant,3,,,"1,000",operating,pressurized water reactor,VVER V-320,1989,,"November 1, 1982","December 16, 1988","December 25, 1988","April 8, 1989",,Rosatom,,Rosenergoatom,,950,950,"3,000",52.0928,47.9539,Exact,,Balakovsky District,,Saratov Oblast,Eastern Europe,Europe,L500089,G500228,https://gem.wiki/Balakovo_nuclear_power_plant
Russia,Balakovo nuclear power plant,4,,,"1,000",operating,pressurized water reactor,VVER V-320,1993,,"April 1, 1984","March 24, 1993","April 11, 1993","December 22, 1993",,Rosatom,,Rosenergoatom,,950,950,"3,200",52.0928,47.9539,Exact,,Balakovsky District,,Saratov Oblast,Eastern Europe,Europe,L500089,G500172,https://gem.wiki/Balakovo_nuclear_power_plant
Russia,Balakovo nuclear power plant,5,,,950,shelved,pressurized water reactor,VVER V-1000,,,1987,,,,,Rosatom,,Rosenergoatom,,,,,52.0928,47.9539,Exact,Balakovo,,,,Eastern Europe,Europe,L500089,G500830,https://gem.wiki/Balakovo_nuclear_power_plant
Russia,Balakovo nuclear power plant,6,,,950,shelved,pressurized water reactor,VVER V-1000,,,1988,,,,,Rosatom,,Rosenergoatom,,,,,52.0928,47.9539,Exact,Balakovo,,,,Eastern Europe,Europe,L500089,G500831,https://gem.wiki/Balakovo_nuclear_power_plant
Russia,Baltiyskaya nuclear power plant,1,,Baltic; Kaliningrad,"1,194",shelved,pressurized water reactor,VVER-1200/V-491,,,"February 22, 2012",,,,,Rosatom,,Rosenergoatom,,"1,109","1,109","3,200",54.9374,22.163563,Exact,,Nemansky District,,Kaliningrad,Eastern Europe,Europe,L500094,G500185,https://gem.wiki/Baltiyskaya_nuclear_power_plant
Russia,Baltiyskaya nuclear power plant,2,,Baltic; Kaliningrad,"1,170",shelved,pressurized water reactor,VVER-1200/V-491,,,,,,,,Rosatom,,Rosenergoatom,,,,,54.9374,22.163563,Exact,,Nemansky District,,Kaliningrad,Eastern Europe,Europe,L500094,G500701,https://gem.wiki/Baltiyskaya_nuclear_power_plant
Indonesia,Bangka Belitung nuclear power plant,1,,,500,shelved,unknown,unknown,2028,,,,,,,PT Perusahaan Listrik Negara (Persero),PT Perusahaan Listrik Negara,PT Perusahaan Listrik Negara (Persero),PT Perusahaan Listrik Negara,,,,-2.12001,106.1815,Approximate,,,,Bangka-Belitung,South-eastern Asia,Asia,L500367,G501008,https://gem.wiki/Bangka_Belitung_nuclear_power_plant
United Arab Emirates,Barakah nuclear power plant,1,,,"1,417",operating,pressurized water reactor,Apr-1400,2021,,"July 19, 2012","July 31, 2020","August 19, 2020","April 1, 2021",,Emirates Nuclear Energy Corporation,,Nawah Energy Company,,"1,417","1,345","3,983",23.9695,52.2361,Exact,Barakah,Al Dhafrah Region,,Abu Dhabi Emirate,Western Asia,Asia,L500011,G500018,https://gem.wiki/Barakah_nuclear_power_plant
United Arab Emirates,Barakah nuclear power plant,2,,,"1,417",operating,pressurized water reactor,Apr-1400,2022,,"April 15, 2013","August 27, 2021","September 14, 2021","March 24, 2022",,Emirates Nuclear Energy Corporation,,Nawah Energy Company,,"1,345","1,310","3,983",23.9695,52.2361,Exact,Barakah,Al Dhafrah Region,,Abu Dhabi Emirate,Western Asia,Asia,L500011,G500022,https://gem.wiki/Barakah_nuclear_power_plant
United Arab Emirates,Barakah nuclear power plant,3,,,"1,400",operating,pressurized water reactor,Apr-1400,2022,,"September 24, 2014","September 22, 2022","October 8, 2022",,,Emirates Nuclear Energy Corporation,,Nawah Energy Company,,"1,345","1,345","3,983",23.9695,52.2361,Exact,Barakah,Al Dhafrah Region,,Abu Dhabi Emirate,Western Asia,Asia,L500011,G500020,https://gem.wiki/Barakah_nuclear_power_plant
United Arab Emirates,Barakah nuclear power plant,4,,,"1,400",construction,pressurized water reactor,Apr-1400,2023,,"July 30, 2015",,,,,Emirates Nuclear Energy Corporation,,Nawah Energy Company,,"1,345","1,345","3,983",23.9695,52.2361,Exact,Barakah,Al Dhafrah Region,,Abu Dhabi Emirate,Western Asia,Asia,L500011,G500021,https://gem.wiki/Barakah_nuclear_power_plant
Sweden,Barseback nuclear power plant,1,,,615,retired,boiling water reactor,AA-II,1975,1999,"February 1, 1971","January 18, 1975","May 15, 1975","July 1, 1975","November 30, 1999",Sydkraft Nuclear Power AB,,Barsebäck Kraft AB,,600,570,"1,800",55.7435,12.9201,Exact,,Skåne County,,,Northern Europe,Europe,L500181,G500406,https://gem.wiki/Barseback_nuclear_power_plant
Sweden,Barseback nuclear power plant,2,,,615,retired,boiling water reactor,AA-II,1977,2005,"January 1, 1973","February 20, 1977","March 21, 1977","July 1, 1977","May 31, 2005",Sydkraft Nuclear Power AB,,Barsebäck Kraft AB,,600,570,"1,800",55.7435,12.9201,Exact,,Skåne County,,,Northern Europe,Europe,L500181,G500407,https://gem.wiki/Barseback_nuclear_power_plant
Russia,Bashkir nuclear power plant,1,,,"1,255",announced,pressurized water reactor,VVER V-510,2024,,,,,,,Rosatom,,Rosenergoatom,,,"1,115","3,300",55.8852,53.9889,Exact,,gorodskoy okrug Agidel',,Bashkortostan,Eastern Europe,Europe,L500267,G500621,https://gem.wiki/Bashkir_nuclear_power_plant
Russia,Bashkir nuclear power plant,2,,,"1,255",announced,pressurized water reactor,VVER V-510,2027,,,,,,,Rosatom,,Rosenergoatom,,,"1,115","3,300",55.8852,53.9889,Exact,,gorodskoy okrug Agidel',,Bashkortostan,Eastern Europe,Europe,L500267,G500622,https://gem.wiki/Bashkir_nuclear_power_plant
United States,Beaver Valley nuclear power plant,1,,,959,operating,pressurized water reactor,WH 3LP (DRYSUB),1976,,"June 26, 1970","May 10, 1976","June 14, 1976","October 1, 1976",,PPL Susquehanna LLC,,First Energy Nuclear Operating CO,,908,835,"2,900",40.6219,-80.4336,Exact,,Beaver County,,Pennsylvania,Northern America,Americas,L500122,G500255,https://gem.wiki/Beaver_Valley_nuclear_power_plant
United States,Beaver Valley nuclear power plant,2,,,958,operating,pressurized water reactor,WH 3LP (DRYSUB),1987,,"May 3, 1974","August 4, 1987","August 17, 1987","November 17, 1987",,Ohio Edison CO,,First Energy Nuclear Operating CO,,905,836,"2,900",40.6219,-80.4336,Exact,,Beaver County,,Pennsylvania,Northern America,Americas,L500122,G500256,https://gem.wiki/Beaver_Valley_nuclear_power_plant
Bulgaria,Belene nuclear power plant,1,,,"1,000",pre-construction,unknown,unknown,,,,,,,,,,,,,,,43.6294,25.1867,Exact,,Pleven,,,Eastern Europe,Europe,L500295,G500712,https://gem.wiki/Belene_nuclear_power_plant
Bulgaria,Belene nuclear power plant,2,,,"1,000",pre-construction,unknown,unknown,,,,,,,,,,,,,,,43.6294,25.1867,Exact,,Pleven,,,Eastern Europe,Europe,L500295,G500713,https://gem.wiki/Belene_nuclear_power_plant
